"instance","maxdepth","ratio","solver","total_time","iter_0","iter_1","iter_2","iter_3","iter_4","iter_5","iter_6","iter_7","iter_8","iter_9","iter_10","iter_11","iter_12","iter_13","iter_14","iter_15","iter_16","iter_17","iter_18","iter_19","iter_20"
"kr-vs-kp-un",2,40,"inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"kr-vs-kp-un",2,50,"inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"kr-vs-kp-un",2,60,"inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"kr-vs-kp-un",2,70,"inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"kr-vs-kp-un",2,80,"inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"lymph-un",2,20,"inc",20.62,4.57,0.11,2.4,3.11,0.02,0.87,1.14,1.64,1.45,0.02,0.12,1.14,0.02,1.11,0.01,0.01,0.28,0.01,1.02,0.01,0.92
"lymph-un",2,30,"inc",269.93,32.87,49.21,4.47,20.07,20.98,26.55,17.08,14.56,5.58,17.63,6.69,7.91,8.07,6.59,6.17,0.5,13.4,8.19,2.03,0.31,0.5
"lymph-un",2,40,"inc",871.45,69.46,53.06,53.7,147.66,72,6.79,43.99,41.9,29.27,78.71,26.32,41.63,35.45,15.52,8.56,45.02,35.39,17.1,22.81,15.11,11.34
"lymph-un",2,50,"inc",1986.66,164.6,130.13,105.56,456.7,92.22,109.47,164.35,110.69,15.69,167.02,53.79,91.69,57.96,134.6,11.91,21.02,20.78,71.21,2.49,1.77,2.33
"lymph-un",2,60,"inc",3569.32,217.82,200.76,694.91,235.78,49.59,185.03,90.02,485.82,355.3,207.5,170.3,84.65,218.19,202.81,30.15,26.81,4.65,47.01,31.41,5.95,24.12
"lymph-un",2,70,"inc",7200,237.1,285.25,1721.52,756.6,814.22,618.54,361.19,230.4,274.62,243.05,45.52,188.09,57.61,63.62,309.72,333.38,235.7,7200,7200,7200,7200
"lymph-un",2,80,"inc",7200,253.1,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"mushroom-un",2,20,"inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"mushroom-un",2,30,"inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"mushroom-un",2,40,"inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"mushroom-un",2,50,"inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"mushroom-un",2,60,"inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"mushroom-un",2,70,"inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"mushroom-un",2,80,"inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"primary-tumor-un",2,20,"inc",31.62,4.34,6.38,4.3,9.05,2.53,0.29,0.3,0.29,0.29,0.3,0.29,0.29,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29
"primary-tumor-un",2,30,"inc",98.67,7.93,14.14,21.4,37.49,10.84,5.65,0.34,0.06,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
"primary-tumor-un",2,40,"inc",859.18,21.2,43.56,301.77,132.33,101.2,117.65,62.3,74.37,1.79,1.62,0.24,0.08,0.07,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07
"primary-tumor-un",2,50,"inc",7200,72.92,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"primary-tumor-un",2,60,"inc",7200,120.36,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"primary-tumor-un",2,70,"inc",7200,181.97,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"primary-tumor-un",2,80,"inc",7200,312.52,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"soybean-un",2,20,"inc",563.85,10.15,36.25,23.26,19.13,101.27,183.7,136.96,3.24,3.99,4.08,3.77,3.21,3.23,3.22,3.23,4.1,4.09,4.1,4.09,4.1,4.1
"soybean-un",2,30,"inc",7200,42.68,3436.65,93.95,152.03,276.21,361.49,403.17,460.15,406.68,433.87,242.39,696.06,7200,7200,7200,7200,7200,7200,7200,7200,7200
"soybean-un",2,40,"inc",7200,51.71,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"soybean-un",2,50,"inc",7200,91.89,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"soybean-un",2,60,"inc",7200,96.42,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"soybean-un",2,70,"inc",7200,196.49,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"soybean-un",2,80,"inc",7200,199.26,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"splice-1-un",2,20,"inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"splice-1-un",2,30,"inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"splice-1-un",2,40,"inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"splice-1-un",2,50,"inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"splice-1-un",2,60,"inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"splice-1-un",2,70,"inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
"splice-1-un",2,80,"inc",7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
